,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Friedrichshafen,Friedrichshafen,GPE,0.00000000,0.00000000,en,1.00000000,4018596-5,2924585,P,47.65689000,9.47554000,EUROPE,Germany,WCE
auroras,auroras,GPE,1.00000000,1.00000000,en,1.00000000,,9181904,T,24.46629000,-103.43819000,CENTRAL-AMERICA,Mexico,NCA
Grand Rapids,Grand Rapids,GPE,0.22000000,0.58000000,en,1.00000000,4274722-3,4994358,P,42.96336000,-85.66809000,NORTH-AMERICA,United States,ENA
Michigan,Michigan,GPE,0.22000000,0.58000000,en,1.00000000,4115139-2,5001836,A,44.25029000,-85.50033000,NORTH-AMERICA,United States,ENA
Oudenburg,Oudenburg,GPE,0.00000000,0.06666667,en,1.00000000,4116836-7,2789519,P,51.18489000,3.00035000,EUROPE,Belgium,WCE
Western Attica,Western Attica,LOC,-0.05000000,0.05000000,en,1.00000000,4652667-5,5107486,P,42.86423000,-78.28029000,NORTH-AMERICA,United States,ENA
the Netherlands,the Netherlands,GPE,0.00000000,0.10000000,en,1.00000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
the United Kingdom,the United Kingdom,GPE,0.00000000,0.10000000,en,1.00000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
the Aegean Sea,the Aegean Sea,LOC,0.00000000,0.00000000,en,1.00000000,,10295462,S,37.79189000,26.70433000,EUROPE-AFRICA,Greece,MED
Tepco,Tepco,GPE,0.00000000,0.00000000,en,1.00000000,,8616489,P,-32.16644000,140.79521000,OCEANIA,Australia,SAU
Olympian,Olympian,GPE,0.00000000,0.00000000,en,1.00000000,,4401943,P,38.13616000,-90.45790000,NORTH-AMERICA,United States,CNA
Northern Ireland,Northern Ireland,GPE,0.00000000,0.00000000,en,1.00000000,4027667-3,2963597,A,53.00000000,-8.00000000,EUROPE,Ireland,NEU
derby,derby,GPE,0.55000000,0.45000000,en,1.00000000,,4832745,P,41.32065000,-73.08900000,NORTH-AMERICA,United States,ENA
Walhain,Walhain,GPE,0.80000000,0.75000000,en,1.00000000,,2784169,A,50.61667000,4.70000000,EUROPE,Belgium,WCE
Chamoson,Chamoson,GPE,0.00000000,0.00000000,en,1.00000000,4593473-3,2661226,P,46.20275000,7.22319000,EUROPE,Switzerland,WCE
South,South,LOC,0.00000000,0.00000000,en,1.00000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
Hertoginstraat,Hertoginstraat,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Beringen,Beringen,GPE,0.10000000,0.15000000,en,1.00000000,4192739-4,2802170,P,51.04954000,5.22606000,EUROPE,Belgium,WCE
Moscow,Moscow,GPE,0.00000000,0.17857143,en,1.00000000,4074987-3,524901,P,55.75204000,37.61781000,EUROPE,Russia,WCE
Sin City',Sin City',GPE,0.35000000,0.95000000,en,1.00000000,,1880252,P,1.28967000,103.85007000,ASIA,Singapore,SEA
Queensland,Queensland,GPE,-0.04166667,0.35555556,en,1.00000000,4103475-2,2152274,A,-20.00000000,145.00000000,OCEANIA,Australia,NAU
Cebu,Cebu,GPE,0.00000000,0.00000000,en,1.00000000,4323998-5,1717512,P,10.31672000,123.89071000,ASIA,Philippines,SEA
Het Geleed,Het Geleed,LOC,-0.04583333,0.33333333,en,1.00000000,,0,,,,,,
Nieuwpoort,Nieuwpoort,GPE,-0.04583333,0.33333333,en,1.00000000,4293510-6,2790150,P,51.13008000,2.75135000,EUROPE,Belgium,WCE
Lombardsijde,Lombardsijde,GPE,-0.04583333,0.33333333,en,1.00000000,1159978026,2792187,P,51.15000000,2.75000000,EUROPE,Belgium,WCE
Poland,Poland,GPE,0.00000000,0.00000000,en,1.00000000,4046496-9,798544,A,52.00000000,20.00000000,EUROPE,Poland,WCE
Longwood,Longwood,GPE,0.05000000,0.25000000,en,1.00000000,,4162783,P,28.70305000,-81.33840000,NORTH-AMERICA,United States,ENA
Horse City,Horse City,GPE,0.25000000,0.30000000,en,1.00000000,,7170215,A,37.17141000,-85.91204000,NORTH-AMERICA,United States,ENA
De Ster,De Ster,GPE,-0.08333333,0.25000000,en,1.00000000,,1123762,P,33.65853000,70.08244000,ASIA,Afghanistan,WCA
Sint-Niklaas,Sint-Niklaas,GPE,-0.08333333,0.25000000,en,1.00000000,4363104-6,2786578,P,51.16509000,4.14370000,EUROPE,Belgium,WCE
Kortrijk,Kortrijk,GPE,0.00000000,0.00000000,en,1.00000000,4032537-4,2794055,P,50.82803000,3.26487000,EUROPE,Belgium,WCE
Vallorcine,Vallorcine,GPE,0.00000000,0.00000000,en,1.00000000,7630586-7,2970882,P,46.03338000,6.93188000,EUROPE,France,WCE
Congo,Congo,GPE,-0.25000000,0.40000000,en,1.00000000,4032097-2,2260494,A,-1.00000000,15.50000000,AFRICA,Republic of the Congo,CAF
Democratic Republic of Congo,Democratic Republic of Congo,GPE,-0.17500000,0.25000000,en,1.00000000,4067357-1,203312,A,-2.50000000,23.50000000,AFRICA,Democratic Republic of the Congo,CAF
Planckendael,Planckendael,GPE,0.12500000,0.41666667,en,1.00000000,,0,,,,,,
Muizen,Muizen,GPE,0.12500000,0.41666667,en,1.00000000,,6034157,H,47.50417000,-77.54639000,NORTH-AMERICA,Canada,ENA
Slovakia,Slovakia,GPE,-0.10000000,0.60000000,en,1.00000000,4055297-4,3057568,A,48.66667000,19.50000000,EUROPE,Slovakia,WCE
