,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Lisbon,Lisbon,GPE,-0.02756892,0.75689223,en,1.90000000,4035919-0,2267057,P,38.72509000,-9.14980000,EUROPE-AFRICA,Portugal,MED
Patagonia,Patagonia,GPE,-0.25657895,0.84210526,en,1.90000000,,3841798,L,-44.00000000,-68.00000000,SOUTH-AMERICA,Argentina,SSA
Mozambique,Mozambique,GPE,-0.13815789,0.59210526,en,1.90000000,4039786-5,1036973,A,-18.25000000,35.00000000,AFRICA,Mozambique,ESAF
Athens,Athens,GPE,-0.11184211,0.25657895,en,1.90000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
East Flanders,East Flanders,GPE,-0.02631579,0.26315789,en,1.90000000,4020176-4,2797656,P,51.05000000,3.71667000,EUROPE,Belgium,WCE
Kinrooi,Kinrooi,GPE,-0.02631579,0.10526316,en,1.90000000,1237531004,2794446,A,51.14759000,5.73847000,EUROPE,Belgium,WCE
Pyrénées-Orientales,Pyrénées-Orientales,GPE,-0.10526316,0.26315789,en,1.90000000,,2983393,P,42.76929000,2.87378000,EUROPE-AFRICA,France,MED
Stokkem,Stokkem,GPE,0.52631579,1.05263158,en,1.90000000,7592981-8,7670535,P,51.03055000,5.73469000,EUROPE,Belgium,WCE
North Sulawesi,North Sulawesi,GPE,-0.26315789,0.25000000,en,1.90000000,4042534-4,1626229,A,1.25000000,124.83333000,ASIA,Indonesia,SEA
Mexico,Mexico,GPE,-0.26315789,0.26315789,en,1.90000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Ardennes,Ardennes,LOC,0.13157895,0.26315789,en,1.90000000,4252561-5,2803095,L,50.16667000,5.50000000,EUROPE,Belgium,WCE
Kiev,Kiev,GPE,0.27777778,0.27777778,en,1.80000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Los Angeles,Los Angeles,GPE,-0.08333333,0.25000000,en,1.80000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Canada,Canada,GPE,0.00000000,0.85470085,en,1.80000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Stekene,Stekene,GPE,0.00000000,0.00000000,en,1.80000000,1220379867,2786088,A,51.21476000,4.03347000,EUROPE,Belgium,WCE
Venezuela,Venezuela,GPE,0.00000000,0.00000000,en,1.80000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Milan,Milan,GPE,0.05882353,0.64705882,en,1.70000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Israel,Israel,GPE,-0.02941176,0.23529412,en,1.70000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
the Moluccan Sea,the Moluccan Sea,LOC,0.16339869,0.43790850,en,1.70000000,,0,,,,,,
Kyiv,Kyiv,GPE,0.00236742,0.12073864,en,1.60000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Fukushima,Fukushima,LOC,0.39062500,0.83333333,en,1.60000000,4332074-0,2112923,P,37.75000000,140.46667000,ASIA,Japan,EAS
Gaza,Gaza,GPE,0.00000000,0.00000000,en,1.60000000,4092680-1,281133,P,31.50161000,34.46672000,EUROPE-AFRICA,Palestinian Territory,MED
China,China,GPE,0.30729167,0.53645833,en,1.60000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Ecuador,Ecuador,GPE,0.10489510,0.34965035,en,1.30000000,4129321-6,3658394,A,-1.25000000,-78.25000000,SOUTH-AMERICA,Ecuador,NWS
the South Atlantic Ocean,the South Atlantic Ocean,LOC,0.15384615,0.61538462,en,1.30000000,4334651-0,4364312,P,38.33650000,-75.08491000,NORTH-AMERICA,United States,ENA
Utrecht,Utrecht,GPE,0.00000000,0.00000000,en,1.30000000,4062222-8,2745912,P,52.09083000,5.12222000,EUROPE,The Netherlands,NEU
